2024-07-22 00:20:27 [main] INFO  testNGBasePack.BaseClass - correct Link: 200
2024-07-22 00:20:27 [main] ERROR testNGBasePack.BaseClass - Link is broken with error code: 503
2024-07-22 00:20:27 [main] INFO  testNGBasePack.BaseClass - correct Link: 200
2024-07-22 00:20:27 [main] INFO  testNGBasePack.BaseClass - correct Link: 200
2024-07-22 00:20:28 [main] INFO  testNGBasePack.BaseClass - correct Link: 200
2024-07-22 00:20:28 [main] INFO  testNGBasePack.BaseClass - correct Link: 200
2024-07-22 00:20:29 [main] INFO  testNGBasePack.BaseClass - correct Link: 200
2024-07-22 00:20:30 [main] INFO  testNGBasePack.BaseClass - correct Link: 200
2024-07-22 00:20:30 [main] INFO  testNGBasePack.BaseClass - correct Link: 200
2024-07-22 00:20:32 [main] INFO  testNGBasePack.BaseClass - correct Link: 200
2024-07-22 00:20:35 [main] INFO  testNGBasePack.BaseClass - correct Link: 200
2024-07-22 00:20:36 [main] INFO  testNGBasePack.BaseClass - correct Link: 200
2024-07-22 00:20:36 [main] INFO  testNGBasePack.BaseClass - correct Link: 200
2024-07-22 00:20:37 [main] INFO  testNGBasePack.BaseClass - correct Link: 200
2024-07-22 00:20:37 [main] INFO  testNGBasePack.BaseClass - correct Link: 200
2024-07-22 00:20:37 [main] INFO  testNGBasePack.BaseClass - correct Link: 200
2024-07-22 00:20:38 [main] INFO  testNGBasePack.BaseClass - correct Link: 200
2024-07-22 00:20:38 [main] INFO  testNGBasePack.BaseClass - correct Link: 200
2024-07-22 00:20:38 [main] INFO  testNGBasePack.BaseClass - correct Link: 200
2024-07-22 00:20:39 [main] INFO  testNGBasePack.BaseClass - correct Link: 200
2024-07-22 00:20:39 [main] INFO  testNGBasePack.BaseClass - correct Link: 200
2024-07-22 00:20:39 [main] INFO  testNGBasePack.BaseClass - correct Link: 200
2024-07-22 00:20:39 [main] INFO  testNGBasePack.BaseClass - correct Link: 200
2024-07-22 00:20:40 [main] INFO  testNGBasePack.BaseClass - correct Link: 200
2024-07-22 00:20:40 [main] INFO  testNGBasePack.BaseClass - correct Link: 200
2024-07-22 00:20:40 [main] INFO  testNGBasePack.BaseClass - correct Link: 200
